Occupation,"Total 16 years and over","16 to 19 years","20 to 24 years","25 to 34 years","35 to 44 years","45 to 54 years","55 to 64 years","65 years and over","Median age"
Retail salespersons,"3,105",258,611,647,411,441,456,281,36.3
Advertising sales agents,190,1,14,59,39,39,29,9,39.8
Insurance sales agents,595,2,31,133,131,119,118,61,44.7
"Securities, commodities, and financial services sales agents",231,2,16,60,51,53,34,13,41.2
Travel agents,82,0,3,7,13,30,17,12,53.4
"Sales representatives, services, all other",557,5,47,161,117,121,80,26,41.1
"Sales representatives, wholesale and manufacturing","1,281",17,51,256,279,330,258,90,45.8
"Models, demonstrators, and product promoters",62,3,4,11,7,7,8,21,53.9
Real estate brokers and sales agents,"1,095",5,38,181,214,255,240,161,49.6
Sales engineers,35,0,2,10,6,8,9,1,–
Telemarketers,49,2,9,16,5,9,4,3,–
"Door-to-door sales workers, news and street vendors, and related workers",135,4,9,21,29,24,30,19,47.3
"Sales and related workers, all other",284,14,26,60,53,61,47,23,42.9
Office and administrative support occupations,"17,789",616,"1,951","4,011","3,288","3,443","3,286","1,192",42.2
First-line supervisors of office and administrative support workers,"1,306",6,51,286,294,335,264,71,45.6
"Switchboard operators, including answering service",21,0,1,5,2,4,8,1,–
Telephone operators,42,3,7,10,10,4,5,3,–
"Communications equipment operators, all other",12,0,0,5,1,4,1,0,–
Bill and account collectors,116,1,11,47,18,22,11,5,37.7
Billing and posting clerks,459,4,34,90,110,112,82,27,44.3
"Bookkeeping, accounting, and auditing clerks","1,015",9,50,123,181,239,285,129,50.9
Gaming cage workers,13,0,0,5,2,2,2,1,–
Payroll and timekeeping clerks,155,0,5,24,35,34,38,17,48.3
Procurement clerks,29,0,3,3,4,12,7,0,–
Tellers,294,10,77,84,45,36,32,10,30.9
"Financial clerks, all other",119,0,15,29,32,21,18,5,40.4
Brokerage clerks,3,0,0,0,2,1,0,0,–
Correspondence clerks,5,0,0,1,1,0,1,1,–
"Court, municipal, and license clerks",95,0,2,24,13,21,28,6,49
"Credit authorizers, checkers, and clerks",41,0,1,17,6,9,5,2,–
Customer service representatives,"2,552",201,398,679,448,388,332,105,36
"Eligibility interviewers, government programs",70,0,0,15,24,16,13,2,42.6
File clerks,175,12,18,35,24,41,27,17,44.8
"Hotel, motel, and resort desk clerks",116,3,35,44,13,12,5,5,29.1
"Interviewers, except eligibility and loan",131,5,14,27,27,20,21,17,42.7
"Library assistants, clerical",88,4,15,21,8,14,16,11,40.5
Loan interviewers and clerks,116,0,5,37,32,22,13,5,39.9
New accounts clerks,22,0,2,4,7,3,4,1,–
Order clerks,112,5,15,27,21,19,20,5,39.4
"Human resources assistants, except payroll and timekeeping",60,1,5,17,14,12,8,3,41
Receptionists and information clerks,"1,288",72,219,317,207,192,187,94,37.2
Reservation and transportation ticket agents and travel clerks,119,1,10,37,23,22,22,3,39.7
"Information and record clerks, all other",99,0,9,23,24,17,20,6,42.3
Cargo and freight agents,20,1,1,5,6,3,4,2,–
Couriers and messengers,402,14,50,102,70,76,58,33,40.9
Dispatchers,261,3,23,72,67,51,35,11,40.1
"Meter readers, utilities",17,0,4,3,1,4,3,2,–
Postal service clerks,96,0,8,11,17,21,31,8,50.4
Postal service mail carriers,331,0,17,73,69,79,79,14,46.4
"Postal service mail sorters, processors, and processing machine operators",76,0,5,17,5,13,28,9,51.3
"Production, planning, and expediting clerks",297,3,14,80,60,63,61,15,43.2
"Shipping, receiving, and traffic clerks",563,16,57,132,98,125,102,32,42.6
Stock clerks and order fillers,"1,512",136,308,364,226,216,191,71,33.4
"Weighers, measurers, checkers, and samplers, recordkeeping",66,2,2,10,16,17,15,3,46.8
Secretaries and administrative assistants,"2,688",27,155,439,511,632,675,249,48.8
Computer operators,72,3,3,19,13,12,14,8,43
Data entry keyers,250,7,27,56,62,42,44,12,41.1
Word processors and typists,57,2,6,13,11,7,14,4,43.1
Desktop publishers,0,0,0,0,0,0,0,0,–
Insurance claims and policy processing clerks,269,5,20,84,50,51,51,8,40.7
"Mail clerks and mail machine operators, except postal service",68,1,10,19,10,13,9,5,38.5
"Office clerks, general","1,355",54,174,301,222,237,263,105,42.2
"Office machine operators, except computer",32,2,5,8,6,4,6,2,–
Proofreaders and copy markers,7,0,0,1,2,1,2,1,–
Statistical assistants,58,0,7,18,11,13,10,0,40.8
"Office and administrative support workers, all other",618,3,53,147,129,128,116,42,43.4
,,,,,,,,,
"Natural resources, construction, and maintenance occupations","14,343",336,"1,311","3,320","3,479","2,952","2,342",602,41.6
"Farming, fishing, and forestry occupations","1,156",75,126,257,247,201,182,69,40.1
"First-line supervisors of farming, fishing, and forestry workers",51,0,2,10,10,8,17,4,49.4
Agricultural inspectors,18,0,0,3,3,3,8,0,–
Animal breeders,10,0,0,1,5,1,2,1,–
"Graders and sorters, agricultural products",88,1,11,25,21,15,11,4,38.8
Miscellaneous agricultural workers,866,68,100,192,187,144,126,50,39.2
Fishers and related fishing workers,36,1,4,6,6,10,6,4,–
Hunters and trappers,0,0,0,0,0,0,0,0,–
Forest and conservation workers,21,0,2,5,3,6,2,3,–
Logging workers,66,3,7,14,12,15,11,4,41.9
Construction and extraction occupations,"8,325",171,745,"1,967","2,157","1,705","1,258",321,41.3
First-line supervisors of construction trades and extraction workers,682,3,22,126,197,178,121,35,45
Boilermakers,24,0,2,5,9,5,3,0,–
"Brickmasons, blockmasons, and stonemasons",152,1,12,31,35,44,20,9,43.1
Carpenters,"1,292",21,104,285,363,256,207,55,41.9
"Carpet, floor, and tile installers and finishers",170,4,11,49,47,35,17,7,40.3
